,year,FIRA2,FSA2,FSH2,EFLX2,AC2,HEAT2,WASTEHEAT2,AHF2,FGR2
0,2015,66.79152,158.51062,53.908108,41.048492,0.0018063952,0.06725398,0.014529422,0.0817834,-2.2039826
1,2016,66.00856,157.13547,53.982826,40.51168,0.0019060465,0.06301158,0.013740942,0.07675252,-2.3259664
2,2017,65.74598,155.94383,53.41365,40.53904,0.001835055,0.0706646,0.01522798,0.08589258,-2.6580353
3,2018,66.56916,155.56984,52.902424,39.864864,0.0016395311,0.06992149,0.014959961,0.084881455,-2.71885
4,2019,66.06686,154.76889,52.955185,39.42662,0.0017729052,0.06541839,0.014141618,0.07956001,-2.6301992
5,2020,64.58926,152.44926,51.300972,40.514294,0.0018026324,0.070623435,0.0151973795,0.08582082,-2.8397532
6,2021,64.96421,151.9955,50.426117,40.362892,0.0018187196,0.07328909,0.015746625,0.08903571,-2.6648154
7,2022,65.442375,151.67952,50.730873,39.5479,0.0016218983,0.076135315,0.016195677,0.09233099,-2.9215193
8,2023,65.21987,151.12291,50.329693,39.451206,0.0015994284,0.074671015,0.015888719,0.090559736,-2.7647812
9,2024,63.52245,149.14146,49.431427,39.93314,0.0014797493,0.0702856,0.014937862,0.085223466,-2.6894047
10,2025,65.186966,150.155,49.58739,39.113045,0.0017825365,0.06856109,0.014770129,0.08333122,-2.6687691
11,2026,64.70697,148.3609,48.41992,38.67226,0.0017666675,0.064736575,0.014002421,0.078738995,-2.4124594
12,2027,63.871403,147.55754,47.760044,39.482643,0.0015288229,0.06893434,0.014698661,0.083633,-2.5242267
13,2028,63.70563,146.3397,47.140965,39.018253,0.0014486669,0.06693548,0.014251872,0.08118735,-2.519158
14,2029,63.856995,145.79642,46.950043,39.269516,0.0018388164,0.07753054,0.016600147,0.09413069,-3.1138618
15,2030,62.271034,143.57748,45.316875,39.363567,0.0016807127,0.06486556,0.013974837,0.0788404,-2.367696
16,2031,63.199455,143.38985,44.61219,39.12771,0.0016504191,0.0654318,0.014071183,0.079502985,-2.5185626
17,2032,63.12161,142.0926,43.601402,39.35937,0.0016783198,0.07234633,0.015470502,0.087816834,-2.8846433
18,2033,62.18308,140.96513,44.67004,38.041176,0.0016859295,0.07887835,0.016781272,0.09565962,-2.7976966
19,2034,61.586094,139.9715,41.84977,40.155838,0.001659607,0.06836986,0.014661061,0.08303092,-2.5766678
20,2035,63.568924,140.56404,42.125954,38.476776,0.0016940383,0.06633097,0.014279135,0.080610104,-2.5485675
21,2036,62.706177,139.64287,42.78696,37.745907,0.0015809307,0.070718855,0.015082294,0.08580115,-2.5340927
22,2037,60.314598,136.71738,40.0086,39.921875,0.0015224746,0.065952554,0.01409903,0.080051586,-2.5093076
23,2038,62.31589,137.49063,40.14876,38.72461,0.0018108826,0.066628896,0.014405556,0.08103445,-2.64129
24,2039,62.36467,136.91667,41.026634,37.447964,0.0016738117,0.07102467,0.015203302,0.086227976,-2.8253334
25,2040,60.425056,134.69583,39.36664,38.74156,0.0016876314,0.072581485,0.015522975,0.08810446,-2.723498
26,2041,60.192173,133.36307,38.714664,38.67829,0.0019805524,0.07605154,0.016382707,0.09243425,-3.0555422
27,2042,61.15551,133.5102,37.092285,38.75034,0.001681414,0.065118715,0.0140241645,0.07914288,-2.4669454
28,2043,60.11788,132.46985,36.760895,38.884384,0.0017331302,0.06546888,0.014122042,0.07959092,-2.3087213
29,2044,59.612686,131.09079,35.671204,39.413746,0.0017436808,0.06664879,0.01436451,0.0810133,-2.5594177
30,2045,60.573483,131.02235,36.21635,37.75466,0.0016530319,0.065927364,0.014171202,0.08009857,-2.477635
31,2046,59.0625,128.7979,34.787266,38.628853,0.0017661321,0.06949157,0.014946902,0.08443847,-2.6163402
32,2047,59.916653,129.346,35.22649,37.990818,0.0016071013,0.07258004,0.015473553,0.08805359,-2.7000306
33,2048,57.71674,126.65672,33.95267,38.92233,0.0016544994,0.075020805,0.015987078,0.09100788,-2.8207693
34,2049,58.956127,126.65719,34.222656,37.281883,0.0017631223,0.070828095,0.015211217,0.08603931,-2.7032819
35,2050,58.79309,126.21494,32.823196,37.867474,0.0015508812,0.063522354,0.013627137,0.07714949,-2.2797084
36,2051,58.571358,125.24501,32.341217,37.78029,0.001862022,0.066101424,0.014327023,0.08042845,-2.412353
37,2052,57.99148,123.89102,30.613031,38.538116,0.0015451874,0.06270693,0.013455747,0.07616268,-2.2933517
38,2053,58.79963,123.726555,30.954615,37.414993,0.0017987126,0.064304955,0.013932395,0.07823735,-2.4127405
39,2054,58.00256,122.49788,29.842745,37.777206,0.0017288806,0.061144967,0.01325594,0.07440091,-2.1370962
40,2055,58.444088,122.00041,30.77036,36.392254,0.0018015803,0.06548019,0.014169896,0.07965008,-2.5424294
41,2056,57.793587,121.129395,29.705824,37.20936,0.0015092124,0.06935873,0.014763542,0.08412227,-2.562115
42,2057,58.128616,120.6893,29.984983,36.21126,0.0016955511,0.07084742,0.015180095,0.08602752,-2.5688963
43,2058,56.93439,119.041084,28.290083,37.12873,0.001760213,0.062500924,0.013543357,0.076044284,-2.3097038
44,2059,56.40462,118.69315,28.654951,37.001564,0.0018622407,0.062913135,0.013686208,0.076599345,-2.3432958
45,2060,56.07476,117.07099,26.779978,37.520206,0.0016931613,0.0657703,0.014164506,0.079934806,-2.3019092
46,2061,56.93509,117.04267,26.174551,37.252426,0.0017037553,0.06445762,0.013901974,0.07835959,-2.3339405
47,2062,56.552937,116.58,27.048494,36.179478,0.0016938513,0.06339852,0.013686893,0.07708541,-2.2158124
48,2063,54.412357,113.78753,24.789385,37.89905,0.0019106439,0.06255698,0.013643238,0.07620022,-2.3228855
49,2064,56.806385,114.52793,23.79477,37.2701,0.0017060027,0.0634298,0.013701467,0.07713127,-2.3584962
50,2065,56.17632,114.01803,24.438284,36.500977,0.0015596476,0.06389777,0.013704825,0.077602595,-2.143881
51,2066,53.779312,111.58964,23.83303,37.69967,0.0019339622,0.06833572,0.014807918,0.08314364,-2.6412163
52,2067,55.50068,111.77492,22.774397,37.111443,0.0017435147,0.069720946,0.014977467,0.08469842,-2.5551476
53,2068,54.405914,111.183495,24.162586,36.33319,0.0015672892,0.07261462,0.015454211,0.08806883,-2.6468906
54,2069,54.389374,110.359886,24.053688,35.548073,0.001712822,0.07024793,0.015067244,0.085315175,-2.5632584
55,2070,55.332924,110.52117,22.817905,35.665836,0.0019459166,0.062602326,0.013675957,0.076278284,-2.2939832
56,2071,54.221302,109.420235,22.929867,35.652756,0.0019717284,0.0635521,0.013878772,0.07743087,-2.3312514
57,2072,53.46893,107.815834,20.42409,37.094635,0.0018477526,0.06280621,0.013659333,0.07646555,-2.208703
58,2073,54.490746,108.082664,21.444605,35.32234,0.0016409397,0.06097617,0.013169038,0.074145205,-2.2268527
59,2074,54.33693,107.35769,21.02419,35.046913,0.001640771,0.05819106,0.012612,0.07080306,-2.120038
60,2075,52.724834,105.5211,19.453377,36.852585,0.0016290265,0.06663706,0.014284424,0.080921486,-2.508772
61,2076,54.079586,106.764465,20.761156,35.411026,0.0018934471,0.06711554,0.014544346,0.08165988,-2.4401026
62,2077,51.394974,104.44234,19.211903,36.9672,0.002095552,0.06093047,0.013423732,0.0743542,-2.158471
63,2078,53.346375,105.25672,18.9529,35.9446,0.0020027081,0.05923568,0.013031961,0.072267644,-2.0561953
64,2079,51.954014,103.99738,18.287369,36.84704,0.0017403533,0.06164497,0.013356845,0.07500181,-2.1301584
65,2080,52.316628,104.59194,18.98837,36.269196,0.0019918145,0.058643293,0.012905927,0.07154922,-2.032605
66,2081,52.42771,103.11598,18.03002,35.633137,0.0019825823,0.05705454,0.01258342,0.069637954,-2.0404365
67,2082,53.071526,103.94466,18.175232,35.78732,0.002101878,0.058835424,0.013013221,0.071848646,-2.1284256
68,2083,52.35643,103.098526,18.21567,35.821568,0.0020790424,0.06490042,0.014205078,0.0791055,-2.2765892
69,2084,51.736427,102.91203,18.752512,35.592056,0.0020336786,0.06300908,0.013801294,0.076810375,-2.1717453
70,2085,51.788837,102.63042,17.79049,35.77941,0.0019689417,0.054015584,0.011960159,0.06597574,-1.8484528
71,2086,53.03184,102.819275,18.68806,33.975086,0.0021400177,0.05705143,0.01267325,0.06972468,-1.9286705
72,2087,51.124985,101.59103,17.262,35.954987,0.0022490735,0.051328298,0.011593846,0.06292214,-1.8418869
73,2088,51.943317,101.89365,17.954407,35.02508,0.0022078215,0.056695294,0.01264673,0.069342025,-2.053533
74,2089,51.63384,102.14182,17.709501,35.529312,0.0022953614,0.05710101,0.012770972,0.069871984,-1.7934201
75,2090,50.59657,101.00238,17.01773,36.255653,0.0022876633,0.052878354,0.011921108,0.06479946,-1.9473953
76,2091,51.442482,101.926704,17.979353,35.374477,0.0023062578,0.05552945,0.012473333,0.06800278,-1.9076672
77,2092,50.337746,101.0642,16.374533,37.018673,0.0026683153,0.05205712,0.011978891,0.06403601,-1.7500678
78,2093,51.638943,102.402695,16.739895,36.832657,0.002467486,0.053200584,0.012094625,0.06529521,-1.8898067
79,2094,50.821407,101.65136,17.205112,36.186634,0.0026863066,0.05210263,0.012009554,0.06411219,-1.6264545
80,2095,51.13175,101.91914,17.234367,36.31703,0.0030392155,0.05280802,0.012354877,0.0651629,-1.7892253
81,2096,50.16776,101.13206,16.759237,37.079185,0.0024884148,0.052916247,0.01205289,0.06496914,-1.9302151
82,2097,52.316628,102.47049,17.825212,35.024864,0.0026074492,0.052370146,0.012012367,0.064382516,-1.7354656
83,2098,50.154385,101.25122,17.930933,35.80728,0.002578188,0.0520531,0.011933407,0.06398651,-1.6930267
84,2099,51.251873,102.23976,17.827913,35.7048,0.0030809096,0.05161672,0.012133033,0.06374975,-1.636661
