,year,FIRA6,FSA6,FSH6,EFLX6,AC6,HEAT6,WASTEHEAT6,AHF6,FGR6
0,2015,66.725525,158.04068,53.521835,41.056015,0.0017981029,0.06732877,0.014539422,0.081868194,-2.2291813
1,2016,65.90023,156.34935,53.344593,40.514782,0.0018936256,0.06313813,0.013758819,0.07689694,-2.3684473
2,2017,65.59495,154.8354,52.519627,40.53624,0.0018182069,0.07085624,0.015256229,0.08611247,-2.7182558
3,2018,66.37332,154.13263,51.742558,39.86251,0.0016163273,0.07016561,0.014994904,0.085160516,-2.7974231
4,2019,65.82705,153.00467,51.53223,39.421547,0.001744273,0.06570238,0.014181286,0.079883665,-2.7259424
5,2020,64.30681,150.3711,49.626057,40.50723,0.001771863,0.070964,0.015247079,0.08621108,-2.952922
6,2021,64.63419,149.56891,48.471897,40.355297,0.00178315,0.07373919,0.01581535,0.08955454,-2.798469
7,2022,65.06662,148.90125,48.49954,39.529167,0.0015823101,0.076621115,0.016269123,0.09289024,-3.0726502
8,2023,64.797264,148.00142,47.82134,39.43425,0.0015540357,0.07524764,0.015976876,0.091224514,-2.9364831
9,2024,63.05726,145.69992,46.671043,39.907772,0.0014360263,0.07089118,0.015032828,0.08592401,-2.8778894
10,2025,64.66654,146.31522,46.512497,39.081406,0.0017155488,0.069252,0.014868308,0.0841203,-2.8798919
11,2026,64.13828,144.18927,45.076385,38.642536,0.0017017748,0.06544885,0.014106039,0.079554886,-2.6405902
12,2027,63.25379,143.02194,44.130825,39.442905,0.0014625123,0.06971693,0.014815506,0.08453244,-2.7710176
13,2028,63.044094,141.45827,43.24701,38.962414,0.001383253,0.067787185,0.014383074,0.08217026,-2.7866251
14,2029,63.140392,140.52292,42.733627,39.22385,0.0017416443,0.078506134,0.016737152,0.09524329,-3.4058225
15,2030,61.51057,138.00618,40.871975,39.301956,0.0015949546,0.06578009,0.01410645,0.07988654,-2.6698072
16,2031,62.379562,137.39221,39.828693,39.067093,0.0015632969,0.06654892,0.014242514,0.080791436,-2.8489082
